VERSION,REGION,IO_MALLOC_FLAG,SIZE,THREAD_NUM,AVG_TOTAL_TIME,STD_TOTAL_TIME,%STD
mandelbrot_pth,full,0,1024,4,0.069121,0.000682,0.99%
mandelbrot_pth,seahorse,0,1024,4,0.30048,0.00188,0.63%
mandelbrot_pth,elephant,0,1024,4,0.28318,0.00802,2.83%
mandelbrot_pth,spiral,0,1024,4,0.32062,0.00188,0.59%
mandelbrot_pth,full,0,1024,8,0.05832,0.00239,4.09%
mandelbrot_pth,seahorse,0,1024,8,0.233796,0.000501,0.21%
mandelbrot_pth,elephant,0,1024,8,0.2200,0.0140,6.36%
mandelbrot_pth,spiral,0,1024,8,0.2454,0.0149,6.09%
mandelbrot_pth,full,0,1024,16,0.04098,0.00306,7.48%
mandelbrot_pth,seahorse,0,1024,16,0.2065,0.0113,5.47%
mandelbrot_pth,elephant,0,1024,16,0.18996,0.00613,3.23%
mandelbrot_pth,spiral,0,1024,16,0.21802,0.00725,3.32%
mandelbrot_pth,full,0,1024,32,0.03435,0.00142,4.12%
mandelbrot_pth,seahorse,0,1024,32,0.19742,0.00248,1.26%
mandelbrot_pth,elephant,0,1024,32,0.1834,0.0134,7.32%
mandelbrot_pth,spiral,0,1024,32,0.22871,0.00362,1.58%
mandelbrot_pth,full,0,2048,1,0.514734,0.000524,0.10%
mandelbrot_pth,seahorse,0,2048,1,3.80257,0.00484,0.13%
mandelbrot_pth,elephant,0,2048,1,3.6312,0.0482,1.33%
mandelbrot_pth,spiral,0,2048,1,4.595,0.252,5.48%
mandelbrot_pth,full,0,2048,2,0.28481,0.00726,2.55%
mandelbrot_pth,seahorse,0,2048,2,2.4218,0.0993,4.10%
mandelbrot_pth,elephant,0,2048,2,1.9477,0.0337,1.73%
mandelbrot_pth,spiral,0,2048,2,2.6304,0.0705,2.68%
mandelbrot_pth,full,0,2048,4,0.2925,0.0189,6.45%
mandelbrot_pth,seahorse,0,2048,4,1.2622,0.0719,5.70%
mandelbrot_pth,elephant,0,2048,4,1.1648,0.0330,2.83%
mandelbrot_pth,spiral,0,2048,4,1.28583,0.00235,0.18%
mandelbrot_pth,full,0,2048,8,0.21434,0.00255,1.19%
mandelbrot_pth,seahorse,0,2048,8,0.95382,0.00225,0.24%
mandelbrot_pth,elephant,0,2048,8,0.8897,0.0464,5.22%
mandelbrot_pth,spiral,0,2048,8,1.0546,0.0695,6.59%
mandelbrot_pth,full,0,2048,16,0.162788,0.000960,0.59%
mandelbrot_pth,seahorse,0,2048,16,0.7874,0.0580,7.37%
mandelbrot_pth,elephant,0,2048,16,0.72175,0.00799,1.11%
mandelbrot_pth,spiral,0,2048,16,0.8886,0.0109,1.23%
mandelbrot_pth,full,0,2048,32,0.12169,0.00238,1.95%
mandelbrot_pth,seahorse,0,2048,32,0.9343,0.0439,4.70%
mandelbrot_pth,elephant,0,2048,32,0.7949,0.0207,2.61%
mandelbrot_pth,spiral,0,2048,32,0.99801,0.00196,0.20%
mandelbrot_pth,full,0,4096,1,2.3156,0.0415,1.79%
mandelbrot_pth,seahorse,0,4096,1,6.602,0.258,1.55%
mandelbrot_pth,elephant,0,4096,1,4.427,0.174,1.21%
mandelbrot_pth,spiral,0,4096,1,7.1573,0.0935,0.55%
mandelbrot_pth,full,0,4096,2,1.04955,0.00496,0.47%
mandelbrot_pth,seahorse,0,4096,2,9.591,0.210,2.19%
mandelbrot_pth,elephant,0,4096,2,7.521,0.366,4.86%
mandelbrot_pth,spiral,0,4096,2,0.113,0.454,4.49%
mandelbrot_pth,full,0,4096,4,1.05784,0.00291,0.27%
mandelbrot_pth,seahorse,0,4096,4,5.003,0.215,4.29%
mandelbrot_pth,elephant,0,4096,4,4.3387,0.0392,0.90%
mandelbrot_pth,spiral,0,4096,4,4.9962,0.0235,0.47%
mandelbrot_pth,full,0,4096,8,0.8159,0.0133,1.63%
mandelbrot_pth,seahorse,0,4096,8,3.1528,0.0540,1.71%
mandelbrot_pth,elephant,0,4096,8,3.372,0.305,9.04%
mandelbrot_pth,spiral,0,4096,8,3.7213,0.0190,0.51%
mandelbrot_pth,full,0,4096,16,0.5603,0.0168,3.00%
mandelbrot_pth,seahorse,0,4096,16,3.05669,0.00632,0.21%
mandelbrot_pth,elephant,0,4096,16,2.9828,0.0768,2.57%
mandelbrot_pth,spiral,0,4096,16,3.5244,0.0134,0.38%
mandelbrot_pth,full,0,4096,32,0.51049,0.00784,1.53%
mandelbrot_pth,seahorse,0,4096,32,3.1419,0.0200,0.64%
mandelbrot_pth,elephant,0,4096,32,2.97033,0.00905,0.30%
mandelbrot_pth,spiral,0,4096,32,3.6531,0.0259,0.71%
mandelbrot_pth,full,0,8192,1,8.0815,0.0886,1.10%
mandelbrot_pth,seahorse,0,8192,1,0.299,0.131,0.22%
mandelbrot_pth,elephant,0,8192,1,6.776,0.304,0.54%
mandelbrot_pth,spiral,0,8192,1,9.42,1.35,1.94%
mandelbrot_pth,full,0,8192,2,4.18524,0.00960,0.23%
mandelbrot_pth,seahorse,0,8192,2,4.6700,0.0634,0.18%
mandelbrot_pth,elephant,0,8192,2,0.245,0.271,0.90%
mandelbrot_pth,spiral,0,8192,2,7.321,0.105,0.28%
mandelbrot_pth,full,0,8192,4,3.99362,0.00233,0.06%
mandelbrot_pth,seahorse,0,8192,4,8.7257,0.0177,0.09%
mandelbrot_pth,elephant,0,8192,4,7.24462,0.00465,0.03%
mandelbrot_pth,spiral,0,8192,4,9.9873,0.0489,0.24%
mandelbrot_pth,full,0,8192,8,3.270198,0.000836,0.03%
mandelbrot_pth,seahorse,0,8192,8,2.7779,0.0208,0.16%
mandelbrot_pth,elephant,0,8192,8,3.276,0.149,1.12%
mandelbrot_pth,spiral,0,8192,8,5.418,0.248,1.61%
mandelbrot_pth,full,0,8192,16,2.1979,0.0218,0.99%
mandelbrot_pth,seahorse,0,8192,16,3.20607,0.00341,0.03%
mandelbrot_pth,elephant,0,8192,16,2.5072,0.0280,0.22%
mandelbrot_pth,spiral,0,8192,16,6.25,1.27,7.81%
mandelbrot_pth,full,0,8192,32,1.936,0.128,6.63%
mandelbrot_pth,seahorse,0,8192,32,3.2305,0.0513,0.39%
mandelbrot_pth,elephant,0,8192,32,2.5184,0.0670,0.54%
mandelbrot_pth,spiral,0,8192,32,4.94872,0.00251,0.02%
mandelbrot_omp,full,0,16,1,0.0007008,0.0000222,3.17%
mandelbrot_omp,seahorse,0,16,1,0.0012132,0.0000435,3.59%
mandelbrot_omp,elephant,0,16,1,0.001098304,0.000000904,0.08%
mandelbrot_omp,spiral,0,16,1,0.001198,0.000125,0.48%
mandelbrot_omp,full,0,16,2,0.002123,0.000759,5.75%
mandelbrot_omp,seahorse,0,16,2,0.001789,0.000629,5.17%
mandelbrot_omp,elephant,0,16,2,0.0012601,0.0000478,3.79%
mandelbrot_omp,spiral,0,16,2,0.001301,0.000105,8.05%
mandelbrot_omp,full,0,16,4,0.001170,0.000194,6.63%
mandelbrot_omp,seahorse,0,16,4,0.0011700,0.0000266,2.27%
mandelbrot_omp,elephant,0,16,4,0.001355,0.000172,2.69%
mandelbrot_omp,spiral,0,16,4,0.001219,0.000188,5.46%
mandelbrot_omp,full,0,16,8,0.001381,0.000114,8.28%
mandelbrot_omp,seahorse,0,16,8,0.001314,0.000157,1.96%
mandelbrot_omp,elephant,0,16,8,0.0015338,0.0000671,4.38%
mandelbrot_omp,spiral,0,16,8,0.002270,0.000635,7.97%
mandelbrot_omp,full,0,16,16,0.0017891,0.0000525,2.93%
mandelbrot_omp,seahorse,0,16,16,0.001647,0.000115,7.01%
mandelbrot_omp,elephant,0,16,16,0.002083,0.000238,1.45%
mandelbrot_omp,spiral,0,16,16,0.0019725,0.0000190,0.96%
mandelbrot_omp,full,0,16,32,0.003873,0.000635,6.38%
mandelbrot_omp,seahorse,0,16,32,0.002711,0.000391,4.41%
mandelbrot_omp,elephant,0,16,32,0.002438,0.000244,9.99%
mandelbrot_omp,spiral,0,16,32,0.002224,0.000218,9.80%
mandelbrot_omp,full,0,32,1,0.0009835,0.0000400,4.07%
mandelbrot_omp,seahorse,0,32,1,0.002938,0.000421,4.33%
mandelbrot_omp,elephant,0,32,1,0.0024746,0.0000591,2.39%
mandelbrot_omp,spiral,0,32,1,0.0023660,0.0000619,2.62%
mandelbrot_omp,full,0,32,2,0.0011149,0.0000283,2.54%
mandelbrot_omp,seahorse,0,32,2,0.002075,0.000473,2.79%
mandelbrot_omp,elephant,0,32,2,0.002279,0.000678,9.74%
mandelbrot_omp,spiral,0,32,2,0.0016976,0.0000690,4.07%
mandelbrot_omp,full,0,32,4,0.001411,0.000300,1.23%
mandelbrot_omp,seahorse,0,32,4,0.001836,0.000346,8.86%
mandelbrot_omp,elephant,0,32,4,0.001792,0.000324,8.07%
mandelbrot_omp,spiral,0,32,4,0.0015607,0.0000741,4.75%
mandelbrot_omp,full,0,32,8,0.001637,0.000207,2.65%
mandelbrot_omp,seahorse,0,32,8,0.001956,0.000268,3.69%
mandelbrot_omp,elephant,0,32,8,0.0017295,0.0000551,3.19%
mandelbrot_omp,spiral,0,32,8,0.001626,0.000143,8.79%
mandelbrot_omp,full,0,32,16,0.001718,0.000139,8.11%
mandelbrot_omp,seahorse,0,32,16,0.001962,0.000121,6.17%
mandelbrot_omp,elephant,0,32,16,0.002211,0.000303,3.72%
mandelbrot_omp,spiral,0,32,16,0.0023693,0.0000130,0.55%
mandelbrot_omp,full,0,32,32,0.0021518,0.0000640,2.98%
mandelbrot_omp,seahorse,0,32,32,0.002816,0.000500,7.76%
mandelbrot_omp,elephant,0,32,32,0.002471,0.000238,9.64%
mandelbrot_omp,spiral,0,32,32,0.003222,0.000422,3.09%
mandelbrot_omp,full,0,64,1,0.0018866,0.0000356,1.89%
mandelbrot_omp,seahorse,0,64,1,0.006937,0.000612,8.82%
mandelbrot_omp,elephant,0,64,1,0.0059845,0.0000443,0.74%
mandelbrot_omp,spiral,0,64,1,0.007108,0.000205,2.89%
mandelbrot_omp,full,0,64,2,0.001749,0.000441,5.20%
mandelbrot_omp,seahorse,0,64,2,0.0036820,0.0000248,0.67%
mandelbrot_omp,elephant,0,64,2,0.003581,0.000196,5.48%
mandelbrot_omp,spiral,0,64,2,0.00624,0.00182,9.15%
mandelbrot_omp,full,0,64,4,0.0014431,0.0000812,5.63%
mandelbrot_omp,seahorse,0,64,4,0.002730,0.000182,6.66%
mandelbrot_omp,elephant,0,64,4,0.0023424,0.0000554,2.37%
mandelbrot_omp,spiral,0,64,4,0.003322,0.000541,6.28%
mandelbrot_omp,full,0,64,8,0.0013279,0.0000523,3.94%
mandelbrot_omp,seahorse,0,64,8,0.002578,0.000469,8.20%
mandelbrot_omp,elephant,0,64,8,0.0023665,0.0000949,4.01%
mandelbrot_omp,spiral,0,64,8,0.0025512,0.0000199,0.78%
mandelbrot_omp,full,0,64,16,0.0018844,0.0000984,5.22%
mandelbrot_omp,seahorse,0,64,16,0.003635,0.000824,2.66%
mandelbrot_omp,elephant,0,64,16,0.003497,0.000284,8.14%
mandelbrot_omp,spiral,0,64,16,0.003401,0.000517,5.20%
mandelbrot_omp,full,0,64,32,0.002123,0.000273,2.86%
mandelbrot_omp,seahorse,0,64,32,0.003493,0.000209,5.98%
mandelbrot_omp,elephant,0,64,32,0.003192,0.000154,4.82%
mandelbrot_omp,spiral,0,64,32,0.00420513,0.00000596,0.14%
mandelbrot_omp,full,0,128,1,0.004119,0.000409,9.92%
mandelbrot_omp,seahorse,0,128,1,0.021055,0.000754,3.58%
mandelbrot_omp,elephant,0,128,1,0.021092,0.000220,1.04%
mandelbrot_omp,spiral,0,128,1,0.02452,0.00163,6.66%
mandelbrot_omp,full,0,128,2,0.0025985,0.0000906,3.49%
mandelbrot_omp,seahorse,0,128,2,0.011200,0.000395,3.53%
mandelbrot_omp,elephant,0,128,2,0.011044,0.000509,4.61%
mandelbrot_omp,spiral,0,128,2,0.012514,0.000156,1.24%
mandelbrot_omp,full,0,128,4,0.003761,0.000472,2.56%
mandelbrot_omp,seahorse,0,128,4,0.00742,0.00103,3.84%
mandelbrot_omp,elephant,0,128,4,0.00738,0.00129,7.43%
mandelbrot_omp,spiral,0,128,4,0.007458,0.000762,0.22%
mandelbrot_omp,full,0,128,8,0.002030,0.000381,8.78%
mandelbrot_omp,seahorse,0,128,8,0.00622,0.00113,8.13%
mandelbrot_omp,elephant,0,128,8,0.005361,0.000394,7.35%
mandelbrot_omp,spiral,0,128,8,0.006121,0.000265,4.33%
mandelbrot_omp,full,0,128,16,0.002191,0.000110,5.04%
mandelbrot_omp,seahorse,0,128,16,0.00744,0.00132,7.75%
mandelbrot_omp,elephant,0,128,16,0.006531,0.000389,5.96%
mandelbrot_omp,spiral,0,128,16,0.007027,0.000117,1.66%
mandelbrot_omp,full,0,128,32,0.0028633,0.0000112,0.39%
mandelbrot_omp,seahorse,0,128,32,0.006627,0.000221,3.34%
mandelbrot_omp,elephant,0,128,32,0.0058848,0.0000958,1.63%
mandelbrot_omp,spiral,0,128,32,0.006801,0.000149,2.19%
mandelbrot_omp,full,0,256,1,0.012770,0.000482,3.78%
mandelbrot_omp,seahorse,0,256,1,0.07311,0.00200,2.74%
mandelbrot_omp,elephant,0,256,1,0.069495,0.000876,1.26%
mandelbrot_omp,spiral,0,256,1,0.08610,0.00104,1.21%
mandelbrot_omp,full,0,256,2,0.006132,0.000140,2.28%
mandelbrot_omp,seahorse,0,256,2,0.039473,0.000603,1.53%
mandelbrot_omp,elephant,0,256,2,0.03859,0.00176,4.56%
mandelbrot_omp,spiral,0,256,2,0.04582,0.00193,4.21%
mandelbrot_omp,full,0,256,4,0.00379635,0.00000597,0.16%
mandelbrot_omp,seahorse,0,256,4,0.021619,0.000729,3.37%
mandelbrot_omp,elephant,0,256,4,0.02227,0.00231,0.37%
mandelbrot_omp,spiral,0,256,4,0.025282,0.000580,2.29%
mandelbrot_omp,full,0,256,8,0.004063,0.000370,9.11%
mandelbrot_omp,seahorse,0,256,8,0.017292,0.000683,3.95%
